PAYER_ID,PAYER_NAME
13162,1199 National Benefit Fund
31147,1-888-OHIOCOMP (Ohio BWC)
58203,"1st Medical Network - Atlanta, GA"
59069,21st Century Health and Benefits
88053,360 Alliance - Gilsbar
20413,3P ADMIN
93044,A & I Benefit Plan Administrators
95241,A.G.I.A. Inc.
75240,"AAG Benefit Plan Administrators, Inc."
37283,AAG-American Administrative Group (Formerly Gallagher Benefit Admin)
75185,AAG-American Administravie Group ( Formerly  Icon Benefit Admin)
E3510,ABMA (Alta Bates Medical Assocs) Medical Corp (Hnet Sr. and Secure Horizon)
03443,Abrazo Advantage Health Plan
68055,Absolute Total Care
TH067,Access Administrators
CM001,Access IPA
REGAL,Access IPA
64071,Acclaim
21356,Acclaim Repricing
72467,"ACS Benefit Services, Inc."
SKCO0,ACS Inc.
SKDC0,ACS Inc.
SKFL0,ACS Inc.
SKGA0,ACS Inc.
SKHI0,ACS Inc.
SKMS0,ACS Inc.
SKMT0,ACS Inc.
SKNM0,ACS Inc.
SKTX0,ACS Inc.
SKWA0,ACS Inc.
SKWY0,ACS Inc.
36112,ACS Rewards Administration Center
SDMEB,"AdminaStar Federal, Inc. (CMIC)"
SMIN0,"AdminaStar Federal, Inc. (CMIC)"
SMKY0,"AdminaStar Federal, Inc. (CMIC)"
38265,Administration Systems Research Corporation
22384,"Administrative Concepts, Inc."
SB740,Administrative Services of Kansas - ASK
59141,"Administrative Services, Inc."
ADOCS,ADOC (Affiliated Doctor's of Orange County)
58202,ADVANCED DATA SOLUTIONS
AMM01,Advanced Medical Management
68056,Advantage by Bridgeway Health Solutions
35209,Advantage Health Solutions
NMM01,Advantage Med Grp
77070,Advantage Preferred Plus
25152,Advantra Freedom
95340,"Adventist Health System West - Roseville, CA"
36320,Advocate Health Centers
65093,Advocate Physician Partners
Pilot,AEQUITAS CAPITAL MANAGEMENT
60054,Aetna
57604,Aetna Affordable Health Choices (SM) - SRC
23225,Aetna Better Health Connecticut Medicaid
38692,Aetna TX Medicaid & CHIP
APG01,Affiliated Physicians Group
13334,Affinity Health Plan
13346,AFTRA Health Fund
37280,AGA
20048,"Agate Resources, Inc. (LIPA)"
64158,Agency Services  Inc
31138,"AHPO (Cleveland, OH)"
CAPMN,AKM Medical Group
91136,"Alaska Children's Services, Inc."
92600,Alaska Electrical Health & Welfare Fund
13550,ALICARE
81040,"Allegiance Benefit Plan Management, Inc."
13079,Alliance Healthcare/Stones River Regional IPA
Call,"Alliance, The (A Wisconsin provider network)"
58234,Alliant Health Plans of Georgia
94177,"Allied Administrators (San Francisco, CA)"
37308,Allied Benefit Systems
SX157,Allied Health - Podiatry (UHIN)
SX156,Allied Health Systems Chiropractic
TH085,Alpha Data
SX113,Altius (Utah)
TH071,AMA Insurance Agency
13343,Amalgamated Life - PA / Alicare
62176,AMCO
38219,AmeraPlan
75137,"AmeriBen Solutions, Inc."
27517,Americaid Community Care (Maryland)
27516,Americaid Community Care (New Jersey)
42112,"American Administrators (West Des Moines, Iowa)"
42137,"American Administrators dba Select Benefit Administrators (W.DesMoines, IA)"
63103,American Behavioral
95170,American Benefit Plan Administrators
34187,"American Benefits Management (North Canton, OH)"
41161,American Chiropractic Network (ACN)
41160,American Chiropractic Network IPA of NY (ACNIPA)
60305,American Community Mutual Insurance
TH095,American Family Insurance
62030,American General
01066,American Healthcare Alliance
36369,"American Imaging Management, Inc."
87726,"American International Group, Inc. (AIG)"
72099,American LIFECARE
81400,"American Medical Security, Inc."
74048,American National Ins. Co. (ANICO)
44444,American Postal Workers Union Health Plan
48055,American Progressive Life and Health Insurance Company
42011,American Republic Insurance
TH117,American Whole Health Networks
37322,American Worker Health Plan
16120,America's PPO
41178,America's PPO/America's TPA
86001,AmeriChoice of New Jersey Personal Care Plus (Medicare)
86047,"AmeriChoice of New Jersey, Inc. (Medicaid NJ)"
86002,AmeriChoice of New York Personal Care Plus (Medicare)
86048,"AmeriChoice of New York, Inc. (Medicaid NY)"
86003,AmeriChoice of Pennsylvania Personal Care Plus (Medicare)
86049,"AmeriChoice of Pennsylvania, Inc. (Medicaid PA)"
27514,Amerigroup Community Care
27515,Amerigroup Corporation (Houston)
27519,Amerigroup Florida
27518,Amerigroup Illinois
SX074,AmeriHealth - Delaware (Non-HMO Claims)
SX075,AmeriHealth - New Jersey (Non-HMO Claims)
54763,AmeriHealth Administrators
23037,AmeriHealth HMO New Jersey and Delaware
22248,AmeriHealth Mercy Health Plan
PROSP,AMVI/Prospect Health Network (Prospect Medical Group)
53085,"Anchor Benefit Consulting, Inc."
86062,Ancillary Benefit Services (ABS)
03172,Ancillary Care Management/ACM
SYMED,Angeles IPA (SynerMed)
34192,Antares Management Solutions
47198,Anthem Blue Cross
G4719800,Anthem Blue Cross (CA)
SB630,Anthem Blue Cross and Blue Shield - Indiana
SB660,Anthem Blue Cross and Blue Shield - Kentucky
SB923,Anthem Blue Cross and Blue Shield (Virginia)
SB338,Anthem Blue Cross and Blue Shield of Ohio
SB560,Anthem Blue Cross Blue Shield of Connecticut
16140,"APA Partners, Inc."
34196,Apex Benefit Services
APP01,AppleCare Medical Management
54160,"APS Healthcare, Inc."
54100,APS Paper Claim
77045,"Arcadian Management Services, Inc"
36356,Argus Health Systems
03432,Arizona Physicians IPA
75278,Arkansas Best Corporation - Choice Benefits
SMAR0,Arkansas Blue Cross and Blue Shield
SMLA0,Arkansas Blue Cross and Blue Shield
SMRI0,Arkansas Blue Cross and Blue Shield
SB520,Arkansas Blue Cross Blue Shield
71603,Arkansas Municipal League
95440,Arnett Health Plans
36326,"Associates for Health Care, Inc. (AHC)"
39065,Assurant Health
37313,"Assurant Health Self-Funded (Ft. Mill, SC)"
37323,Assurant MiniMed-Key Family
88035,"AssureCare, Inc."
74240,Assured Benefits Administrators
SX179,Asuris Northwest/MedAdvantage
37294,ASW \ Lifewise
95691,Athens Area Health Plan Select
22304,Atlanticare [also known as Horizon HealthCare Admin (HHA)]
13853,Atlantis Health Plan
TH004,Atlas Administrators
37242,Aultra Administrative Group
38259,Automated Benefit Services
46045,Avera Health Plans
87098,Avesis Third Party Administrators
59274,"AvMed, Inc."
SKAZ0,AZ Health Care Cost Containment System (AHCCCS)
BKRFM,Bakersfield Family Medical Center
SX145,Banner Health AZ
NCH06,Bascom Palmer Eye Care Network - New Century Health
37248,"Bass Administrators, Inc."
74230,BC Indigent
SB720,BCBS of Minnesota
SX161,BCBS SC - Instil Health PFFS
SX168,BCBSPA - BlueCard Par Point of Service (POS)
49153,"BCI Administrators, Inc."
43324,BEACON HEALTH STRATEGIES
95377,Beech Street
63100,Behavioral Health Systems
MPMOA,Bella Vista Med Grp  IPA
33192,Bencomp National Corporation
36149,Benefit Administrative Systems
25145,"Benefit Coordinators Corporation (Pittsburgh, PA)"
00999,"Benefit Management Services, Inc. (BCBS LA)"
37212,"Benefit Management Systems, Inc"
48611,"Benefit Management, Inc. of KS"
39081,"Benefit Plan Administrators Co. (Eau Claire, WI)"
37118,"Benefit Plan Administrators, Inc. (Roanoke, VA)"
74223,"Benefit Planners, Inc."
38257,"Benefit Source, Inc."
36342,"Benefit Systems & Services, Inc. (BSSI)"
87265,Benesight
95604,Best Life & Health Insurance Co.
32006,Better Health Plans of South Carolina
62183,"Better Health Plans, Inc."
SX002,BHSG of Tennessee
See Comments,Bienvivir Senior Health Services
SB562,Blue Care Family/Anthem Medicaid
SB711,BLUE CARE NETWORK (BLUE CROSS BLUE SHIELD OF MICHIGAN)
00403,Blue Choice Medicaid Managed Care
SB900,Blue Choice Network
SKTN2,Blue Cross & Blue Shield of Tennessee (Chattanooga)
SB950,Blue Cross and Blue Shield United of Wisconsin/Comp Care
SB751,Blue Cross Blue Shield - Montana
SB731,Blue Cross Blue Shield Mississippi State and Teacher Employees
SB510,Blue Cross Blue Shield of Alabama
SB530,Blue Cross Blue Shield of Arizona
SB550,Blue Cross Blue Shield of Colorado
SB563,Blue Cross Blue Shield of Connecticut
SB570,Blue Cross Blue Shield of Delaware
SB590,Blue Cross Blue Shield of Florida
SB600,Blue Cross Blue Shield of Georgia (Atlanta)
SB650,Blue Cross Blue Shield of Kansas
SMKC0,Blue Cross Blue Shield of Kansas
SMKS0,Blue Cross Blue Shield of Kansas
SMNE0,Blue Cross Blue Shield of Kansas
SB651,Blue Cross Blue Shield of Kansas HMO FEP
SB652,Blue Cross Blue Shield of Kansas HMO Regular
SB653,Blue Cross Blue Shield of Kansas HMO Senior Plan
23738,Blue Cross Blue Shield of Louisiana
SB680,Blue Cross Blue Shield of Maine
SB700,Blue Cross Blue Shield of Massachusetts
SB710,Blue Cross Blue Shield of Michigan
SB730,Blue Cross Blue Shield of Mississippi
